Session,ID,Gesture,Frame,Is_Gesture,PlayerSide
S21,P045,Agestural,690,0,Right
S21,P045,Agestural,691,0,Right
S21,P045,Agestural,692,0,Right
S21,P045,Agestural,693,0,Right
S21,P045,Agestural,694,0,Right
S21,P045,Agestural,695,0,Right
S21,P045,Agestural,696,0,Right
S21,P045,Agestural,697,0,Right
S21,P045,Agestural,698,0,Right
S21,P045,Agestural,699,0,Right
S21,P045,Agestural,700,0,Right
S21,P045,Agestural,701,0,Right
S21,P045,Agestural,702,0,Right
S21,P045,Agestural,703,0,Right
S21,P045,Agestural,704,0,Right
S21,P045,Agestural,705,0,Right
S21,P045,Agestural,706,0,Right
S21,P045,Agestural,707,0,Right
S21,P045,Agestural,708,0,Right
S21,P045,Agestural,709,0,Right
S21,P045,Agestural,710,0,Right
S21,P045,Agestural,711,0,Right
S21,P045,Agestural,712,0,Right
S21,P045,Agestural,713,0,Right
S21,P045,Agestural,714,0,Right
S21,P045,Agestural,715,0,Right
S21,P045,Agestural,716,0,Right
S21,P045,Agestural,717,0,Right
S21,P045,Agestural,718,0,Right
S21,P045,Agestural,719,0,Right
S21,P045,Agestural,720,0,Right
S21,P045,Agestural,721,0,Right
S21,P045,Agestural,722,0,Right
S21,P045,Agestural,723,0,Right
S21,P045,Agestural,724,0,Right
S21,P045,Agestural,725,0,Right
S21,P045,Agestural,726,0,Right
S21,P045,Agestural,727,0,Right
S21,P045,Agestural,728,0,Right
S21,P045,Agestural,729,0,Right
S21,P045,Agestural,730,0,Right
S21,P045,Agestural,731,0,Right
S21,P045,Agestural,732,0,Right
S21,P045,Agestural,733,0,Right
S21,P045,Agestural,734,0,Right
S21,P045,Agestural,735,0,Right
S21,P045,Agestural,736,0,Right
S21,P045,Agestural,737,0,Right
S21,P045,Agestural,738,0,Right
S21,P045,Agestural,739,0,Right
S21,P045,Agestural,740,0,Right
S21,P045,Agestural,741,0,Right
S21,P045,Agestural,742,0,Right
S21,P045,Agestural,743,0,Right
S21,P045,Agestural,744,0,Right
S21,P045,Agestural,745,0,Right
S21,P045,Agestural,746,0,Right
S21,P045,Agestural,747,0,Right
S21,P045,Agestural,748,0,Right
S21,P045,Agestural,749,0,Right
S21,P045,Agestural,750,0,Right
